"Council","Grade","Average","colour_filter"
"Aberdeen City","Play and learning",4.37442922374429,"Other"
"Aberdeen City","Setting",4.44748858447489,"Other"
"Aberdeen City","Staffing",4.44242424242424,"Other"
"Aberdeen City","Leadership",4.34545454545455,"Other"
"Aberdeenshire","Play and learning",4.44772117962466,"Other"
"Aberdeenshire","Setting",4.49329758713137,"Other"
"Aberdeenshire","Staffing",4.4983498349835,"Other"
"Aberdeenshire","Leadership",4.24664879356568,"Other"
"Angus","Play and learning",4.61875,"Angus"
"Angus","Setting",4.625,"Angus"
"Angus","Staffing",4.59124087591241,"Angus"
"Angus","Leadership",4.4375,"Angus"
"Argyll & Bute","Play and learning",4.50406504065041,"Other"
"Argyll & Bute","Setting",4.38211382113821,"Other"
"Argyll & Bute","Staffing",4.40594059405941,"Other"
"Argyll & Bute","Leadership",4.34146341463415,"Other"
"City of Edinburgh","Play and learning",4.39665970772443,"Other"
"City of Edinburgh","Setting",4.40501043841336,"Other"
"City of Edinburgh","Staffing",4.32804232804233,"Other"
"City of Edinburgh","Leadership",4.26086956521739,"Other"
"Clackmannanshire","Play and learning",4.58,"Other"
"Clackmannanshire","Setting",4.62,"Other"
"Clackmannanshire","Staffing",4.43589743589744,"Other"
"Clackmannanshire","Leadership",4.36,"Other"
"Dumfries & Galloway","Play and learning",4.42253521126761,"Other"
"Dumfries & Galloway","Setting",4.44366197183099,"Other"
"Dumfries & Galloway","Staffing",4.5,"Other"
"Dumfries & Galloway","Leadership",4.36619718309859,"Other"
"Dundee City","Play and learning",4.58450704225352,"Dundee City"
"Dundee City","Setting",4.54929577464789,"Dundee City"
"Dundee City","Staffing",4.51666666666667,"Dundee City"
"Dundee City","Leadership",4.37762237762238,"Dundee City"
"East Ayrshire","Play and learning",4.52941176470588,"Other"
"East Ayrshire","Setting",4.44444444444444,"Other"
"East Ayrshire","Staffing",4.35779816513761,"Other"
"East Ayrshire","Leadership",4.37012987012987,"Other"
"East Dunbartonshire","Play and learning",4.67832167832168,"Other"
"East Dunbartonshire","Setting",4.56643356643357,"Other"
"East Dunbartonshire","Staffing",4.54807692307692,"Other"
"East Dunbartonshire","Leadership",4.47552447552448,"Other"
"East Lothian","Play and learning",4.37062937062937,"Other"
"East Lothian","Setting",4.42657342657343,"Other"
"East Lothian","Staffing",4.26666666666667,"Other"
"East Lothian","Leadership",4.31944444444444,"Other"
"East Renfrewshire","Play and learning",4.77205882352941,"Other"
"East Renfrewshire","Setting",4.72794117647059,"Other"
"East Renfrewshire","Staffing",4.52873563218391,"Other"
"East Renfrewshire","Leadership",4.58394160583942,"Other"
"Falkirk","Play and learning",4.6039603960396,"Other"
"Falkirk","Setting",4.57920792079208,"Other"
"Falkirk","Staffing",4.53459119496855,"Other"
"Falkirk","Leadership",4.39108910891089,"Other"
"Fife","Play and learning",4.55658198614319,"Fife"
"Fife","Setting",4.54965357967667,"Fife"
"Fife","Staffing",4.53521126760563,"Fife"
"Fife","Leadership",4.37182448036951,"Fife"
"Glasgow City","Play and learning",4.5625,"Other"
"Glasgow City","Setting",4.49759615384615,"Other"
"Glasgow City","Staffing",4.56484149855908,"Other"
"Glasgow City","Leadership",4.46394230769231,"Other"
"Highland","Play and learning",4.44072948328267,"Other"
"Highland","Setting",4.3951367781155,"Other"
"Highland","Staffing",4.42045454545455,"Other"
"Highland","Leadership",4.27963525835866,"Other"
"Inverclyde","Play and learning",4.61538461538461,"Other"
"Inverclyde","Setting",4.53846153846154,"Other"
"Inverclyde","Staffing",4.57777777777778,"Other"
"Inverclyde","Leadership",4.50769230769231,"Other"
"Midlothian","Play and learning",4.46280991735537,"Other"
"Midlothian","Setting",4.45454545454545,"Other"
"Midlothian","Staffing",4.5,"Other"
"Midlothian","Leadership",4.42148760330578,"Other"
"Moray","Play and learning",4.44366197183099,"Other"
"Moray","Setting",4.48591549295775,"Other"
"Moray","Staffing",4.34313725490196,"Other"
"Moray","Leadership",4.15492957746479,"Other"
"Na h-Eileanan Siar","Play and learning",4.5,"Other"
"Na h-Eileanan Siar","Setting",4.46428571428571,"Other"
"Na h-Eileanan Siar","Staffing",4.52,"Other"
"Na h-Eileanan Siar","Leadership",4.32142857142857,"Other"
"North Ayrshire","Play and learning",4.67251461988304,"Other"
"North Ayrshire","Setting",4.54385964912281,"Other"
"North Ayrshire","Staffing",4.4,"Other"
"North Ayrshire","Leadership",4.35672514619883,"Other"
"North Lanarkshire","Play and learning",4.58651026392962,"Other"
"North Lanarkshire","Setting",4.56011730205279,"Other"
"North Lanarkshire","Staffing",4.55,"Other"
"North Lanarkshire","Leadership",4.44868035190616,"Other"
"Orkney Islands","Play and learning",4.64102564102564,"Other"
"Orkney Islands","Setting",4.58974358974359,"Other"
"Orkney Islands","Staffing",4.59259259259259,"Other"
"Orkney Islands","Leadership",4.38461538461539,"Other"
"Perth & Kinross","Play and learning",4.51052631578947,"Perth & Kinross"
"Perth & Kinross","Setting",4.53684210526316,"Perth & Kinross"
"Perth & Kinross","Staffing",4.58041958041958,"Perth & Kinross"
"Perth & Kinross","Leadership",4.34736842105263,"Perth & Kinross"
"Renfrewshire","Play and learning",4.37086092715232,"Other"
"Renfrewshire","Setting",4.43708609271523,"Other"
"Renfrewshire","Staffing",4.28225806451613,"Other"
"Renfrewshire","Leadership",4.23841059602649,"Other"
"Scottish Borders","Play and learning",4.4962962962963,"Other"
"Scottish Borders","Setting",4.48888888888889,"Other"
"Scottish Borders","Staffing",4.47321428571429,"Other"
"Scottish Borders","Leadership",4.42962962962963,"Other"
"Shetland Islands","Play and learning",4.51724137931035,"Other"
"Shetland Islands","Setting",4.41379310344828,"Other"
"Shetland Islands","Staffing",4.48148148148148,"Other"
"Shetland Islands","Leadership",4.27586206896552,"Other"
"South Ayrshire","Play and learning",4.60550458715596,"Other"
