"Council","Grade","Average","colour_filter"
"Aberdeen City","Play and learning",4.34246575342466,"Aberdeen City"
"Aberdeen City","Setting",4.42922374429224,"Aberdeen City"
"Aberdeen City","Staffing",4.44508670520231,"Aberdeen City"
"Aberdeen City","Leadership",4.35454545454545,"Aberdeen City"
"Aberdeenshire","Play and learning",4.44225352112676,"Aberdeenshire"
"Aberdeenshire","Setting",4.49295774647887,"Aberdeenshire"
"Aberdeenshire","Staffing",4.53289473684211,"Aberdeenshire"
"Aberdeenshire","Leadership",4.29014084507042,"Aberdeenshire"
"Angus","Play and learning",4.58169934640523,"Other"
"Angus","Setting",4.59477124183007,"Other"
"Angus","Staffing",4.64285714285714,"Other"
"Angus","Leadership",4.43790849673203,"Other"
"Argyll & Bute","Play and learning",4.46491228070175,"Other"
"Argyll & Bute","Setting",4.35087719298246,"Other"
"Argyll & Bute","Staffing",4.4368932038835,"Other"
"Argyll & Bute","Leadership",4.32456140350877,"Other"
"City of Edinburgh","Play and learning",4.4025974025974,"Other"
"City of Edinburgh","Setting",4.39393939393939,"Other"
"City of Edinburgh","Staffing",4.37931034482759,"Other"
"City of Edinburgh","Leadership",4.28172043010753,"Other"
"Clackmannanshire","Play and learning",4.58333333333333,"Other"
"Clackmannanshire","Setting",4.60416666666667,"Other"
"Clackmannanshire","Staffing",4.51282051282051,"Other"
"Clackmannanshire","Leadership",4.39583333333333,"Other"
"Dumfries & Galloway","Play and learning",4.45185185185185,"Other"
"Dumfries & Galloway","Setting",4.47407407407407,"Other"
"Dumfries & Galloway","Staffing",4.528,"Other"
"Dumfries & Galloway","Leadership",4.42962962962963,"Other"
"Dundee City","Play and learning",4.59124087591241,"Other"
"Dundee City","Setting",4.59124087591241,"Other"
"Dundee City","Staffing",4.55371900826446,"Other"
"Dundee City","Leadership",4.41304347826087,"Other"
"East Ayrshire","Play and learning",4.54166666666667,"Other"
"East Ayrshire","Setting",4.47222222222222,"Other"
"East Ayrshire","Staffing",4.38260869565217,"Other"
"East Ayrshire","Leadership",4.38620689655172,"Other"
"East Dunbartonshire","Play and learning",4.68613138686131,"Other"
"East Dunbartonshire","Setting",4.59124087591241,"Other"
"East Dunbartonshire","Staffing",4.56603773584906,"Other"
"East Dunbartonshire","Leadership",4.4963503649635,"Other"
"East Lothian","Play and learning",4.38686131386861,"Other"
"East Lothian","Setting",4.43795620437956,"Other"
"East Lothian","Staffing",4.32710280373832,"Other"
"East Lothian","Leadership",4.34057971014493,"Other"
"East Renfrewshire","Play and learning",4.71641791044776,"Other"
