"Council","2021/22","2022/23","2023/24","2024/25","Services.x","2025/26","Services.y"
"Aberdeen City",0,0,1,2,49,0,49
"Aberdeenshire",0,2,1,1,59,0,59
"Angus",0,1,0,0,28,0,28
"Argyll & Bute",0,0,0,0,17,0,17
"City of Edinburgh",0,0,0,0,76,0,75
"Clackmannanshire",0,0,0,0,9,0,9
"Dumfries & Galloway",0,1,0,2,31,0,31
"Dundee City",1,0,1,1,27,0,27
"East Ayrshire",1,0,0,0,23,0,23
"East Dunbartonshire",0,0,0,0,19,0,19
"East Lothian",0,1,0,0,18,0,18
"East Renfrewshire",1,0,1,0,13,0,13
"Falkirk",0,0,0,0,30,0,30
"Fife",3,4,2,1,79,0,79
"Glasgow City",3,0,1,0,95,0,94
"Highland",1,0,1,2,61,0,60
"Inverclyde",0,0,0,0,17,0,17
"Midlothian",1,0,0,0,11,0,11
"Moray",0,1,0,0,15,0,15
"Na h-Eileanan Siar",0,0,0,0,9,0,9
"North Ayrshire",1,0,0,0,23,0,23
"North Lanarkshire",1,0,1,0,28,0,28
"Orkney Islands",0,0,0,0,5,0,5
"Perth & Kinross",1,1,1,1,42,0,42
"Renfrewshire",1,1,0,0,26,0,26
"Scottish Borders",0,0,0,0,26,0,26
"Shetland Islands",0,0,0,0,10,0,10
"South Ayrshire",1,0,1,1,34,0,34
"South Lanarkshire",1,1,0,0,54,0,54
"Stirling",0,0,2,0,22,0,22
"West Dunbartonshire",0,0,0,0,11,0,11
"West Lothian",0,1,0,0,31,0,31
