"Council","Wellbeing support","Care and support","Setting","Staffing","Leadership"
"Aberdeen City",4.22,4.14,4.02,4.3,4.2
"Aberdeenshire",4.12280701754386,4.21052631578947,4.15789473684211,4.28070175438596,4.15789473684211
"Angus",4.22222222222222,4.22222222222222,4,4.25925925925926,4.22222222222222
"Argyll & Bute",3.94117647058824,3.94117647058824,3.94117647058824,3.94117647058824,3.88235294117647
"City of Edinburgh",4.53333333333333,4.26666666666667,4.44,4.45333333333333,4.53333333333333
"Clackmannanshire",4.33333333333333,4.22222222222222,4.44444444444444,4.55555555555556,4.33333333333333
"Dumfries & Galloway",3.87096774193548,3.87096774193548,3.70967741935484,3.93548387096774,3.7741935483871
"Dundee City",4.44444444444444,4.23076923076923,4.34615384615385,4.26923076923077,4.22222222222222
"East Ayrshire",4.39130434782609,4.21739130434783,4.04347826086957,4.30434782608696,4.26086956521739
"East Dunbartonshire",4.5,4.44444444444444,4.41176470588235,4.44444444444444,4.33333333333333
"East Lothian",4.1875,4,4,4.125,4.25
"East Renfrewshire",4.33333333333333,4.16666666666667,4.58333333333333,4.41666666666667,4.16666666666667
"Falkirk",4.63333333333333,4.46666666666667,4.16666666666667,4.4,4.5
"Fife",4.12987012987013,3.92105263157895,4.18421052631579,4.05263157894737,4.12987012987013
"Glasgow City",4.19354838709677,4.06451612903226,4.20430107526882,4.2258064516129,4.08602150537634
"Highland",4.31147540983607,4.21311475409836,4.27868852459016,4.29508196721311,4.0983606557377
"Inverclyde",4.05555555555556,4.16666666666667,4.33333333333333,4.44444444444444,4.11111111111111
"Midlothian",4,3.83333333333333,3.83333333333333,4,4.16666666666667
"Moray",4.2,4.26666666666667,4.13333333333333,4.33333333333333,4.46666666666667
"Na h-Eileanan Siar",3.88888888888889,4.11111111111111,4.66666666666667,4.22222222222222,3.77777777777778
"North Ayrshire",4.1304347826087,4.1304347826087,4.17391304347826,3.91304347826087,4.26086956521739
"North Lanarkshire",3.96296296296296,3.85185185185185,4,3.85185185185185,3.81481481481481
"Orkney Islands",4,4.4,4.2,4.2,4.2
"Perth & Kinross",3.8780487804878,3.95121951219512,3.90243902439024,4.07317073170732,3.73170731707317
"Renfrewshire",4.11538461538461,4.15384615384615,4.23076923076923,4.11538461538461,4.15384615384615
"Scottish Borders",4.03846153846154,3.88461538461538,4.12,3.96,3.92307692307692
"Shetland Islands",4,4.7,4.2,4.1,4
"South Ayrshire",4.44117647058824,4.26470588235294,4.26470588235294,4.29411764705882,4.35294117647059
"South Lanarkshire",4.16666666666667,4,4.03703703703704,4.14814814814815,4.03703703703704
"Stirling",4.81818181818182,4.22727272727273,4.45454545454545,4.54545454545455,4.5
"West Dunbartonshire",3.81818181818182,3.90909090909091,4,4.18181818181818,3.90909090909091
"West Lothian",4.73333333333333,4.32142857142857,4.46428571428571,4.67857142857143,4.36666666666667
