"Council","Setting","Staffing","Leadership","Play and learning"
"Aberdeen City",4.44843049327354,4.42771084337349,4.34821428571429,4.38565022421525
"Aberdeenshire",4.49333333333333,4.49501661129568,4.224,4.45066666666667
"Angus",4.63125,4.58394160583942,4.43125,4.6125
"Argyll & Bute",4.38842975206612,4.4040404040404,4.33884297520661,4.50413223140496
"City of Edinburgh",4.41701244813278,4.33510638297872,4.27777777777778,4.42116182572614
"Clackmannanshire",4.62,4.43589743589744,4.36,4.58
"Dumfries & Galloway",4.41958041958042,4.48062015503876,4.34965034965035,4.40559440559441
"Dundee City",4.54225352112676,4.51666666666667,4.37762237762238,4.57746478873239
"East Ayrshire",4.46710526315789,4.38317757009346,4.37908496732026,4.54605263157895
"East Dunbartonshire",4.54861111111111,4.51456310679612,4.45138888888889,4.66666666666667
"East Lothian",4.43356643356643,4.2952380952381,4.32638888888889,4.37762237762238
"East Renfrewshire",4.74814814814815,4.53488372093023,4.58088235294118,4.78518518518518
"Falkirk",4.58128078817734,4.53125,4.39408866995074,4.60591133004926
"Fife",4.55452436194896,4.54571428571429,4.38051044083527,4.56844547563805
"Glasgow City",4.49636803874092,4.56521739130435,4.46973365617433,4.57384987893462
"Highland",4.41389728096677,4.43511450381679,4.29909365558912,4.45317220543807
"Inverclyde",4.53125,4.56818181818182,4.5,4.625
"Midlothian",4.51239669421488,4.53125,4.47107438016529,4.51239669421488
"Moray",4.48936170212766,4.35643564356436,4.16312056737589,4.45390070921986
"Na h-Eileanan Siar",4.62068965517241,4.54166666666667,4.41379310344828,4.58620689655172
"North Ayrshire",4.54335260115607,4.39423076923077,4.35260115606936,4.66473988439306
"North Lanarkshire",4.55847953216374,4.55938697318008,4.45029239766082,4.59649122807018
"Orkney Islands",4.55263157894737,4.57692307692308,4.36842105263158,4.63157894736842
"Perth & Kinross",4.53926701570681,4.58450704225352,4.35078534031414,4.51832460732984
"Renfrewshire",4.43046357615894,4.26612903225806,4.2317880794702,4.34437086092715
"Scottish Borders",4.4962962962963,4.47272727272727,4.41481481481481,4.4962962962963
"Shetland Islands",4.44827586206897,4.48148148148148,4.27586206896552,4.51724137931035
"South Ayrshire",4.59090909090909,4.5,4.5,4.61818181818182
"South Lanarkshire",4.4797507788162,4.44534412955466,4.37694704049844,4.52959501557632
"Stirling",4.65486725663717,4.63636363636364,4.45132743362832,4.66371681415929
"West Dunbartonshire",4.55223880597015,4.63461538461539,4.55223880597015,4.70149253731343
"West Lothian",4.51550387596899,4.38461538461539,4.33333333333333,4.51550387596899
