"Council_Area_Name","Wellbeing support","Care and support","Setting","Staffing","Leadership","Average grade"
"Aberdeen City",4.42307692307692,4.23076923076923,4.15384615384615,4.30769230769231,4.46153846153846,4.31538461538462
"Aberdeenshire",4.13513513513514,4.08108108108108,4.13513513513514,4.21621621621622,4.08108108108108,4.12972972972973
"Angus",4.15384615384615,4.23076923076923,3.96153846153846,4.19230769230769,4.23076923076923,4.15384615384615
"Argyll & Bute",4,3.9375,3.6875,3.8125,3.9375,3.875
"City of Edinburgh",4.55932203389831,4.20338983050847,4.42372881355932,4.42372881355932,4.50847457627119,4.42372881355932
"Clackmannanshire",3.66666666666667,4,4.16666666666667,4,4.33333333333333,4.03333333333333
"Dumfries & Galloway",3.84615384615385,3.80769230769231,3.69230769230769,4,3.73076923076923,3.81538461538462
"Dundee City",4.3,4.2,4.25,4.15,4.1,4.2
"East Ayrshire",4.47368421052632,4.31578947368421,4.05263157894737,4.36842105263158,4.31578947368421,4.30526315789474
"East Dunbartonshire",4.64285714285714,4.35714285714286,4.30769230769231,4.57142857142857,4.35714285714286,4.46071428571429
"East Lothian",4.21428571428571,3.92857142857143,4,4.28571428571429,4.28571428571429,4.14285714285714
"East Renfrewshire",4.33333333333333,4.16666666666667,4.58333333333333,4.41666666666667,4.16666666666667,4.33333333333333
"Falkirk",4.55,4.3,4.05,4.25,4.25,4.28
"Fife",4.08823529411765,3.86567164179104,4.07462686567164,4,4.08823529411765,4.02941176470588
"Glasgow City",4.14754098360656,3.9344262295082,4.11475409836066,4.11475409836066,4.0327868852459,4.06885245901639
"Highland",4.22448979591837,4.10204081632653,4.16326530612245,4.3265306122449,4.02040816326531,4.16734693877551
"Inverclyde",3.92307692307692,4,4.23076923076923,4.23076923076923,4,4.07692307692308
"Midlothian",4,3.88888888888889,3.77777777777778,4.11111111111111,4.11111111111111,3.97777777777778
"Moray",4.23076923076923,4.30769230769231,4.23076923076923,4.30769230769231,4.61538461538461,4.33846153846154
"Na h-Eileanan Siar",4,4.125,4.625,4.25,3.875,4.175
"North Ayrshire",4.1875,4,4.0625,3.875,4.25,4.075
"North Lanarkshire",4.04,3.84,4,4,3.8,3.936
"Orkney Islands",3.33333333333333,3.66666666666667,4,3.66666666666667,3.33333333333333,3.6
"Perth & Kinross",3.97142857142857,3.94285714285714,4.02857142857143,4.14285714285714,3.74285714285714,3.96571428571429
"Renfrewshire",4.09090909090909,4,4.36363636363636,4.09090909090909,4.09090909090909,4.12727272727273
"Scottish Borders",4.08695652173913,3.82608695652174,4.13636363636364,4,3.95652173913043,4
"Shetland Islands",3.55555555555556,4.33333333333333,4,3.77777777777778,3.66666666666667,3.86666666666667
"South Ayrshire",4.32,4.16,4.16,4.2,4.32,4.232
"South Lanarkshire",4.13157894736842,3.97368421052632,3.94736842105263,4.13157894736842,3.97368421052632,4.03157894736842
"Stirling",4.84615384615385,4.23076923076923,4.53846153846154,4.61538461538461,4.46153846153846,4.53846153846154
"West Dunbartonshire",4,4,4.33333333333333,4.11111111111111,3.88888888888889,4.06666666666667
"West Lothian",4.625,4.21428571428571,4,4.4,4.375,4.35625
