"","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2526","Enforcements_issued_2526","any_requirements_2324","any_requirements_2425","any_requirements_2526","Last_inspection_Date","Average","Complaints_upheld_since_23_24","Enforcements_upheld_since_23_24"
"1","Day Care of Children (under 3s)","Private","Jack and Jill Nursery School","Elgin","IV30 6YP","Torridon Education Group Ltd","2017_12","Moray","Same","18/01/2019",NA,NA,5,6,6,6,NA,NA,NA,NA,NA,"10/12/2018",5.75,0,0
"2","Day Care of Children (under 3s)","Voluntary or Not for Profit","V.I.P. Childcare - Moray","Elgin","IV30 1UE","V.I.P. Childcare - Moray","2007_11","Moray","Same","29/10/2021",NA,NA,6,6,5,5,NA,NA,NA,NA,NA,"03/09/2021",5.5,0,0
"3","Day Care of Children (under 3s)","Private","Bishopmill Pre-school Centre","Elgin","IV30 4DY","Torridon Education Group Ltd","2002_4","Moray","Same","20/09/2024",NA,NA,5,5,5,5,NA,NA,NA,"Inspected but no requirements",NA,"29/08/2024",5,0,0
"4","Day Care of Children (under 3s)","Local Authority","Hopeman Primary School Nursery","Elgin","IV30 5TQ","The Moray Council","2002_4","Moray","Same","12/02/2020",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,"13/12/2019",5,0,0
"5","Day Care of Children (under 3s)","Local Authority","Burghead Primary School Nursery","Elgin","IV30 5UQ","The Moray Council","2002_4","Moray","Same","10/10/2019",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,"02/09/2019",5,0,0
"6","Day Care of Children (under 3s)","Local Authority","Linkwood Nursery","Elgin","IV30 8AS","The Moray Council","2021_3","Moray","Same","09/05/2022",NA,NA,5,5,5,5,NA,NA,NA,"Inspected but no requirements",NA,"05/03/2025",5,0,0
"7","Day Care of Children (under 3s)","Private","Earthtime's Forest School Nursery","Elgin","IV30 5QB","Earthtime for All Ltd","2018_8","Moray","Same","13/03/2025",NA,NA,5,5,5,5,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"20/02/2025",5,1,0
"8","Day Care of Children (under 3s)","Local Authority","Seafield Primary School Nursery","Elgin","IV30 4ES","The Moray Council","2002_4","Moray","Same","28/03/2018",NA,NA,5,4,5,5,NA,NA,NA,NA,NA,"28/02/2018",4.75,0,0
"9","Day Care of Children (under 3s)","Voluntary or Not for Profit","Miltonduff Pre-school Group","Elgin","IV30 8TY","Miltonduff Pre-school Group","2002_4","Moray","Same","22/10/2018",NA,NA,5,5,4,4,NA,NA,NA,NA,NA,"29/08/2018",4.5,0,0
"10","Day Care of Children (under 3s)","Local Authority","New Elgin Primary School Nursery","Elgin","IV30 6DP","The Moray Council","2002_4","Moray","Same","01/09/2020",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,"11/03/2020",4.5,0,0
"11","Day Care of Children (under 3s)","Local Authority","East End School Nursery","Elgin","IV30 1RP","The Moray Council","2013_8","Moray","Same","16/01/2020",NA,NA,5,4,4,4,NA,NA,NA,NA,NA,"29/11/2019",4.25,0,0
"12","Day Care of Children (under 3s)","Voluntary or Not for Profit","St. Sylvester's Nursery","Elgin","IV30 1DA","St. Sylvester's Nursery","2002_4","Moray","Same","07/10/2024",NA,NA,4,4,4,4,NA,NA,NA,"Inspected but no requirements",NA,"04/09/2024",4,0,0
"13","Day Care of Children (under 3s)","Private","The College Nursery","Elgin","IV30 1JJ","The College Nursery","2002_4","Moray","Same","11/01/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"10/11/2022",4,0,0
"14","Day Care of Children (under 3s)","Private","Liberty Kids","Elgin","IV30 1QH","Liberty Child Care Holdings Limited","2013_4","Moray","Same","28/01/2022",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"09/12/2021",4,0,0
"15","Day Care of Children (under 3s)","Private","Curious Minds Education Centre","Elgin","IV30 1EE","Curious Minds Education Centre Ltd","2016_6","Moray","Same","19/06/2024",NA,NA,4,4,4,4,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"15/05/2024",4,0,0
"16","Day Care of Children (under 3s)","Private","The Magic Roundabout Childcare Centre Ltd -  Southfield","Elgin","IV30 6GQ","The Magic Roundabout Childcare Centre Ltd","2020_8","Moray","Same","30/04/2025",NA,NA,3,3,4,4,NA,NA,"Inspected but no requirements",NA,NA,"10/01/2024",3.5,0,0
"17","Day Care of Children (under 3s)","Voluntary or Not for Profit","Stramash Outdoor Nursery, Elgin","Elgin","IV30 8XJ","Stramash Social Enterprise","2015_7","Moray","Decline","23/04/2025",NA,NA,3,4,3,3,NA,NA,NA,"Yes",NA,"12/03/2025",3.25,0,0
"18","Day Care of Children (under 3s)","Private","Ark Childcare Ltd","Elgin","IV30 8UW","Ark Childcare Ltd","2004_10","Moray","Same","11/07/2024",NA,NA,3,4,3,3,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"29/05/2024",3.25,1,0
"19","Day Care of Children (under 3s)","Private","Rainbow Castle Childcare","Elgin","IV30 1AP","Moray Leisure Limited","2002_4","Moray","Same","24/03/2025",NA,NA,3,4,2,3,NA,NA,NA,"Yes",NA,"26/02/2025",3,0,0
