"Council_Area_Name","Setting","Staffing","Leadership","Play and learning","Average grade"
"Aberdeen City",4.2093023255814,4.23255813953488,4.32558139534884,4.02325581395349,4.19767441860465
"Aberdeenshire",4.44791666666667,4.54166666666667,4.38541666666667,4.42708333333333,4.45052083333333
"Angus",4.5,4.64285714285714,4.57142857142857,4.57142857142857,4.57142857142857
"Argyll & Bute",4.23809523809524,4.38095238095238,4.16666666666667,4.28571428571429,4.26785714285714
"City of Edinburgh",4.29931972789116,4.36734693877551,4.23809523809524,4.29931972789116,4.30102040816327
"Clackmannanshire",4.4375,4.5,4.5,4.5,4.484375
"Dumfries & Galloway",4.34545454545455,4.52727272727273,4.43636363636364,4.36363636363636,4.41818181818182
"Dundee City",4.43181818181818,4.54545454545455,4.45454545454545,4.5,4.48295454545455
"East Ayrshire",4.33333333333333,4.42424242424242,4.24242424242424,4.3030303030303,4.32575757575758
"East Dunbartonshire",4.38235294117647,4.32352941176471,4.20588235294118,4.41176470588235,4.33088235294118
"East Lothian",4.2,4.32,4.28,4.16,4.24
"East Renfrewshire",4.26315789473684,4.31578947368421,4.26315789473684,4.26315789473684,4.27631578947368
"Falkirk",4.56521739130435,4.56521739130435,4.47826086956522,4.47826086956522,4.52173913043478
"Fife",4.55294117647059,4.6,4.48235294117647,4.49411764705882,4.53235294117647
"Glasgow City",4.40112994350283,4.49717514124294,4.44067796610169,4.37853107344633,4.42937853107345
"Highland",4.25316455696202,4.39240506329114,4.11392405063291,4.22784810126582,4.24683544303798
"Inverclyde",4.52941176470588,4.52941176470588,4.52941176470588,4.47058823529412,4.51470588235294
"Midlothian",4.21621621621622,4.56756756756757,4.2972972972973,4.2972972972973,4.34459459459459
"Moray",4.36842105263158,4.49122807017544,4.2280701754386,4.31578947368421,4.35087719298246
"Na h-Eileanan Siar",4.2,4.45,4.4,4.35,4.35
"North Ayrshire",4.3448275862069,4.3448275862069,4.20689655172414,4.24137931034483,4.28448275862069
"North Lanarkshire",4.43037974683544,4.48101265822785,4.41772151898734,4.41772151898734,4.43670886075949
"Orkney Islands",4.64705882352941,4.625,4.41176470588235,4.70588235294118,4.59803921568627
"Perth & Kinross",4.48214285714286,4.69642857142857,4.41071428571429,4.51785714285714,4.52678571428571
"Renfrewshire",4.21818181818182,4.25454545454545,4.23636363636364,4.23636363636364,4.23636363636364
"Scottish Borders",4.45283018867925,4.52830188679245,4.39622641509434,4.35849056603774,4.43396226415094
"Shetland Islands",4.44444444444444,4.55555555555556,4.33333333333333,4.55555555555556,4.47222222222222
"South Ayrshire",4.62162162162162,4.54054054054054,4.51351351351351,4.48648648648649,4.54054054054054
"South Lanarkshire",4.28235294117647,4.36470588235294,4.32941176470588,4.32941176470588,4.32647058823529
"Stirling",4.84375,4.84375,4.8125,4.84375,4.8359375
"West Dunbartonshire",4.33333333333333,4.47619047619048,4.38095238095238,4.42857142857143,4.40476190476191
"West Lothian",4.48148148148148,4.54320987654321,4.41975308641975,4.44444444444444,4.47222222222222
"outside Scotland",5,5,5,5,5
